date,HN,HNW,HS,SWE,northing,easting,altitude,hs
2018-11-01,0.0,0.0,0.0,,132170.0,566970.0,1250.0,0.0
2018-11-02,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-03,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-04,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-05,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-06,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-07,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-08,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-09,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-10,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-11,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-12,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-13,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-14,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-15,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-16,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-17,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-18,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-19,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-20,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-21,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-22,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-23,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-24,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-25,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-26,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-11-27,0.06,,0.06,,132170.0,566970.0,1250.0,
2018-11-28,0.02,,0.07,,132170.0,566970.0,1250.0,
2018-11-29,0.0,0.0,0.02,,132170.0,566970.0,1250.0,
2018-11-30,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-12-01,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-12-02,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-12-03,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-12-04,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-12-05,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-12-06,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-12-07,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-12-08,0.01,,0.01,,132170.0,566970.0,1250.0,
2018-12-09,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2018-12-10,0.19,40.0,0.19,,132170.0,566970.0,1250.0,
2018-12-11,0.2,28.0,0.37,,132170.0,566970.0,1250.0,
2018-12-12,0.0,0.0,0.33,,132170.0,566970.0,1250.0,
2018-12-13,0.0,0.0,0.31,,132170.0,566970.0,1250.0,
2018-12-14,0.0,0.0,0.29,,132170.0,566970.0,1250.0,
2018-12-15,0.0,0.0,0.29,,132170.0,566970.0,1250.0,
2018-12-16,0.02,,0.28,,132170.0,566970.0,1250.0,
2018-12-17,0.05,,0.28,,132170.0,566970.0,1250.0,
2018-12-18,0.04,,0.3,,132170.0,566970.0,1250.0,
2018-12-19,0.0,0.0,0.27,,132170.0,566970.0,1250.0,
2018-12-20,0.12,15.0,0.36,,132170.0,566970.0,1250.0,
2018-12-21,0.0,0.0,0.3,,132170.0,566970.0,1250.0,
2018-12-22,0.0,0.0,0.2,,132170.0,566970.0,1250.0,
2018-12-23,0.0,0.0,0.12,,132170.0,566970.0,1250.0,
2018-12-24,0.0,0.0,0.08,,132170.0,566970.0,1250.0,
2018-12-25,0.0,0.0,0.04,,132170.0,566970.0,1250.0,
2018-12-26,0.0,0.0,0.04,,132170.0,566970.0,1250.0,
2018-12-27,0.0,0.0,0.03,,132170.0,566970.0,1250.0,
2018-12-28,0.0,0.0,0.03,,132170.0,566970.0,1250.0,
2018-12-29,0.0,0.0,0.03,,132170.0,566970.0,1250.0,
2018-12-30,0.0,0.0,0.03,,132170.0,566970.0,1250.0,
2018-12-31,0.0,0.0,0.03,,132170.0,566970.0,1250.0,
2019-01-01,0.0,0.0,0.03,,132170.0,566970.0,1250.0,
2019-01-02,0.0,0.0,0.03,,132170.0,566970.0,1250.0,
2019-01-03,0.0,0.0,0.03,,132170.0,566970.0,1250.0,
2019-01-04,0.0,0.0,0.03,,132170.0,566970.0,1250.0,
2019-01-05,0.0,0.0,0.02,,132170.0,566970.0,1250.0,
2019-01-06,0.0,0.0,0.01,,132170.0,566970.0,1250.0,
2019-01-07,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2019-01-08,0.0,0.0,0.0,,132170.0,566970.0,1250.0,
2019-01-09,0.14,20.0,0.14,,132170.0,566970.0,1250.0,
2019-01-10,0.22,18.0,0.36,,132170.0,566970.0,1250.0,
2019-01-11,0.0,0.0,0.3,,132170.0,566970.0,1250.0,
2019-01-12,0.01,,0.29,,132170.0,566970.0,1250.0,
2019-01-13,0.14,18.0,0.38,,132170.0,566970.0,1250.0,
